Title,Company,Location,Type,Level,YearsExp,Country,Skills,MinYearsExp,MaxYearsExp
Surveying Engineer,Kiromarble for marble and granite, Maadi,Full Time,Experienced,3+ Yrs of Exp,Cairo,"AutoCAD, English, Site Survey, Civil Engineering, Engineering - Construction/Civil/Architecture",3,5
Accountant,سلسلة معامل حديثة بالقاهرة, Dokki,Full Time,Experienced,2+ Yrs of Exp,Giza,"Finance, Financial Analysis, Financial Management, Commerce, Accounting/Finance",2,4
IT HelpDesk - Hurghada,Somabay, Hurghada,Full Time,Entry Level,0-2 Yrs of Exp,Red Sea,"CCNA, Maintenance, Installation, Information Technology (IT), Computer Science, Computer Engineering, Help-desk, IT/Software Development",0,2
Senior Recruitment Specialist,Breadfast, Cairo,Full Time,Experienced,3+ Yrs of Exp,Egypt,"Business Administration, MS Office, Recruitment, Interviewing, Sourcing, Hiring, Administration, Human Resources",3,5
Accountant - Fixed Assets,Cairoscan, Giza,Full Time,Experienced,3+ Yrs of Exp,Egypt,"English Commerce, Medical, Inventory, Stock, ERP, Financial Management, Financial Analysis, Assets, Finance, Accounting/Finance",3,5
Cost Accountant,Confidential, Alexandria,Full Time,Experienced,10+ Yrs of Exp,Egypt,"Accounting, Accounting/Finance",10,12
Sr Personnel Specialist,Breadfast, Cairo,Full Time,Experienced,3+ Yrs of Exp,Egypt,"Human Resources (HR), Microsoft Office, English, Administration, Paperwork, Forms, HR, Administration, Human Resources",3,5
Sales Manager,Portawest, New Cairo,Full Time,Manager,5+ Yrs of Exp,Cairo,"Sales Target, Customer Service, Customer Care, Customer Support, Business Development, Sales/Retail",5,7
Online Sales Representative,Tyro, Maadi,Full Time,Work From Home,2+ Yrs of Exp,Cairo,"3 Vacancies, Sales Skills, Sales Target, Customer Service, Education, English, Sales/Retail",2,4
Senior Java Developer,Media Sci, New Cairo,Full Time,Experienced,2-6 Yrs of Exp,Cairo,"Software Development, Information Technology (IT), Computer Science, MySQL, Frameworks, IT/Software Development",2,6
Property Consultant Sales Manager,Confidential, Heliopolis,Full Time,Manager,7-10 Yrs of Exp,Cairo,"Sales Skills, Real Estate, Sales Target, Property, Negotiation, Communication, Team Management, Business Development, ROI, Broker",7,10
Senior Front End Developer,Radivision, Cairo,Full Time,Experienced,4+ Yrs of Exp,Egypt,"Computer Science, Software Development, javaScript, Agile, JSON, AWS, SEO, API, Testing, Git, GraphQL",4,6
GL-Accountant - Real Estate,Next Home, Mokattam,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Real Estate, Financial Analysis, Accounting, ERP, Computer Skills, MS Office, Commerce, Accounting/Finance",3,5
Quality Specialist,Cleopatra Hospitals Group, Mohandessin,Full Time,Experienced,2-4 Yrs of Exp,Giza,"CPHQ, Quality Assurance, Quality Control, QA, Medicine, Dentistry, Pharmacy, Pharmaceutical, Medical/Healthcare, Quality, Pharmaceutical",2,4
Sales Team Leader - Real Estate Brokerage,Kimit Real Estate, New Cairo,Full Time,Manager,3-5 Yrs of Exp,Cairo,"Sales Skills, Real Estate, Sales Target, Brokerage, Sales/Retail",3,5
Field Medical Associate - Alexandria (French...,Caduceus Lane, Alexandria,Full Time,Experienced,2-4 Yrs of Exp,Egypt,"Clinical Research, Medical, Pharmacy, Healthcare, Scientific Research, Medical/Healthcare, Sales/Retail, Pharmaceutical",2,4
Digital Media Buyer,Xact, Heliopolis,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Google Ads, Instagram, Campaign, Facebook, Digital Marketing, Social Media, Marketing/PR/Advertising, Media/Journalism/Publishing",2,4
Planning Manager (Uniform & Textile),TM for uniform & hotel supplies, Faisal,Full Time,Manager,5-10 Yrs of Exp,Giza,"Planning, Production, Textile, Applied Arts, Computer Skills, Design, Fashion, Uniform, Creative/Design/Art, Operations/Management",5,10
Mechanical Site Engineer - Hurghada,Watco Egypt, Hurghada,Full Time,Entry Level,0-1 Yrs of Exp,Red Sea,"Mechanical Engineering, HVAC, Mechanics, Site Engineer, Engineering - Mechanical/Electrical",0,1
Telesales Agent,Emarketing-egypt, Dokki,Full Time,Entry Level,1-2 Yrs of Exp,Giza,"Females Only, Sales Skills, Sales Target, Telesales, Telemarketing, Customer Service, Customer Care, Customer Support, Call Center",1,2
Real Estate Property Consultant,Platinum Properties for real estate services, Cairo,Full Time,Experienced,2+ Yrs of Exp,Egypt,"Sales Target, Sales Skills, English, Sales/Retail",2,4
Sales Executive,BAWQ TELECOMM, Dokki,Full Time,Experienced,2-3 Yrs of Exp,Giza,"Sales Target, Sales Skills, Customer Service, Marketing, Sales Executive, CRM Software, English, Sales/Retail",2,3
Telesales Representative,Paymob Solutions, Maadi,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,"Females Only, Telesales, Sales Skills, Sales Target, Call Center, Customer Service, Customer Care, Customer Support, Sales/Retail",0,2
IT Technical Support Engineer,Pillars, Hadayek Alahram,Full Time,Experienced,2-4 Yrs of Exp,Giza,"Information Technology (IT), Computer Science, TroubleShooting, Linux, WAN, LAN, Cisco, Installation/Maintenance/Repair",2,4
Accountant,Ellithy Group, Heliopolis,Full Time,Entry Level,0-1 Yrs of Exp,Cairo,"Accounting, Excel, MS Office, Financial Reporting, Financial Analysis, Accounting/Finance",0,1
Sales Representative - Saudi Arabia,Altayar recruitment, Riyadh,Full Time,Entry Level,1-2 Yrs of Exp,Saudi Arabia,"Sales Skills, Sales Target, Business Development, Business Development, Sales/Retail",1,2
Social Media Moderator & Telesales,SYE English Community, Dokki,Full Time,Entry Level,1-2 Yrs of Exp,Giza,"Social Media, Typing, Online Marketing, E-marketing, Sales, Customer Service/Support, Marketing/PR/Advertising",1,2
Administrative Assistant – Intellectual Property...,Pillars, Hadayek Alahram,Full Time,Experienced,4+ Yrs of Exp,Giza,"Data Entry, Office Management, Computer Skills, Microsoft Office, Secretary, Arabic, English, Administration",4,6
Customs Clearance Senior Specialist,Confidential, Cairo,Full Time,Experienced,4-6 Yrs of Exp,Egypt,"Supply chain, Customer Service, Customer Care, Logistics, Customer Support, Communication Skills, English, Export",4,6
Chemical Engineer,New City Glass, 10th of Ramadan City,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Chemistry, Science, R&D/Science, Engineering - Other",5,7
Public Relation Executive - Giza,Byotat Real Estate, Mohandessin,Full Time,Experienced,2-5 Yrs of Exp,Giza,"Advertising, E-marketing, PR, Graphic Design, Communication, English, Sales Skills, Marketing/PR/Advertising",2,5
Executive Secretary,Temco, Dokki,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Secretary, Office Management, English, Administration",1,3
Mechanical Production Engineer,New City Glass, 10th of Ramadan City,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Mechanical Engineering, Project Management, Manufacturing, Production, Maintenance, English, Manufacturing/Production",5,7
Electrical Sales Engineer,Short Circuit Company, Haram,Full Time,Experienced,2-5 Yrs of Exp,Giza,"Males Only, Electrical Engineering, Sales Skills, Electrical Sales, Electrical Power, Sales/Retail, Engineering - Mechanical/Electrical",2,5
Sales Representative - Furniture,Style Furniture, Heliopolis,Full Time,Shift Based,1-3 Yrs of Exp,Cairo,"2 Vacancies, Sales, Furniture, Interior Design, Customer Care, Customer Service, Customer Service/Support, Sales/Retail",1,3
Sales Admin (Real Estate),Deyar Masr, New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Real Estate, CRM, Customer Service, English, MS Office, Property, Sales Support, Sales Administration, Administration",3,5
Mechanical Maintenance Engineer,New City Glass, 10th of Ramadan City,Shift Based,Experienced,2-4 Yrs of Exp,Cairo,"Maintenance, Production Engineering, Spare Parts, Glass Manufacturing, Installation/Maintenance/Repair",2,4
IT Technical Support Specialist,Qsource, Dokki,Full Time,Experienced,2-3 Yrs of Exp,Giza,"Technical Support, Software, Help Desk, Microsoft, Linux, Communication, Information Technology (IT), Customer Service, English",2,3
Key Account Manager,Aqarmap.com, Nasr City,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Corporate Sales, Real Estate, Marketing, Sales Skills, Outdoor Sales, Telesales, Property, Customer Service, Customer Care, English",1,3
Sales Indoor Specialist (Online),Laser Gallery, 6th of October,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Indoor Sales, Sales Skills, Outdoor Sales, Sales Target, Online Sales, Insurance Sales, Telecommunications, English, Microsoft Office",3,5
Sales/Business Development Specialist,The Breakroom Company, Sheraton,Full Time,Part Time,2-5 Yrs of Exp,Cairo,"Business Development, Sales Skills, Negotiations, Sales Target, Business Development, Sales/Retail",2,5
CEO Executive Assistant,Infinity Clinic Pharma, Nasr City,Full Time,Experienced,5-8 Yrs of Exp,Cairo,"Administration, Administration",5,8
Pharmacist,ELTOUKHY PHARMACIES, New Cairo,Part Time,Shift Based,2-3 Yrs of Exp,Cairo,"4 Vacancies, Pharmaceutical, Pharmacy, Medical, Sales Skills, Sales Target, English, Sales/Retail, Pharmaceutical",2,3
Construction Manager,MAC EGYPT REAL ESTATE CO., 10th of Ramadan City,Full Time,Manager,10-15 Yrs of Exp,Cairo,"Project Management, Architecture, Construction Management, Quality, Building, Engineering - Construction/Civil/Architecture",10,15
Sr. Media Buyer - Digital Campaign Manager,Cultark, Heliopolis,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Digital Marketing, Management, Google Analytics, Writing, Facebook, Google Ads, Snapchat, English, Content",3,5
Sales Account Manager - Software,PanExcel, Cairo,Full Time,Experienced,3+ Yrs of Exp,Egypt,"Business Development, IT, Sales Account, Sales Skills, Sales Target, IT Sales, English, IT/Software Development, Sales/Retail",3,5
Project Manager,MAC EGYPT REAL ESTATE CO., 10th of Ramadan City,Full Time,Manager,20+ Yrs of Exp,Cairo,"Engineering, Construction, PMP, ERP, Civil, Projects, Implementation, Engineering - Construction/Civil/Architecture",20,22
Retention Agent (Telesales),Aqarmap.com, Nasr City,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Corporate Sales, Real Estate, Advertising, Sales Skills, Sales Target, Outdoor Sales, Property, Insurance, Media, Customer Service",1,3
Real Estate Sales Specialist,Confidential, Nasr City,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Real Estate, Sales Skills, Sales Target, Outdoor Sales, Property, Customer Service, Customer Care, Customer Support, Advertising",1,3
Telesales Specialist,Aqarmap.com, Nasr City,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Corporate Sales, Real Estate, Advertising, Marketing, Sales Skills, Insurance, Sales Target, Outdoor Sales, Telesales, Property",1,3
Senior iOS Developer,Pharous LLC, Alexandria,Part Time,Experienced,3-5 Yrs of Exp,Egypt,"REST, MVVM, OOP, MVP, Firebase, Software Development, Computer Science, Information Technology (IT), Github, Code Versioning Tools",3,5
Electrical Maintenance Engineer,Kandil Industries, 10th of Ramadan City,Full Time,Experienced,3-5 Yrs of Exp,Sharqia,"PLCs, AC Inverter, Servo Motors, Servo Drives, Microsoft Visio, Electrical Engineering, Safety, English, Omron",3,5
Technical Office Engineer,TAG Egypt, Mohandessin,Full Time,Entry Level,0-2 Yrs of Exp,Giza,"Females Only, Mechanical Engineering, EGAC, Technical Office Engineering, Calibration, AutoCAD, Microsoft Office, Time Management",0,2
Senior Site Engineer,MAC EGYPT REAL ESTATE CO., 10th of Ramadan City,Full Time,Experienced,5-10 Yrs of Exp,Cairo,"Site, Projects, Civil Engineering, Project Management, Architecture, Communication Skills, Installation/Maintenance/Repair",5,10
Sales Supervisor,Aircomfort company(Plac-viva), New Cairo,Full Time,Manager,5-15 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Management, Communication, Operations/Management, Sales/Retail",5,15
Accounting Manager,The Breakroom Company, Sheraton,Full Time,Manager,7-10 Yrs of Exp,Cairo,"Financial Management, Financial Analysis, Leadership, Accounting Principles, Computer, Accounting/Finance, Operations/Management",7,10
Sales Admin,New Plan, New Cairo,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Administration, Microsoft Office, Excel, English, Sales Skills, Sales Target, Customer Service, Administration, Sales/Retail",2,5
QA Automation Engineer,Xceed, Maadi,Full Time,Work From Home,5+ Yrs of Exp,Cairo,"QA, Quality, Automation Testing, Information Technology (IT), Computer Science, Software Testing, Software Engineering, Selenium",5,7
Senior HR Generalist,Scientific Medical Equipment Co., Heliopolis,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Human Resources (HR), Medical, Healthcare, Training, Recruitment, Payroll, Personnel, Human Resources",2,5
Branch Manager,Care Clinics, New Cairo,Full Time,Manager,3-5 Yrs of Exp,Cairo,"Customer Service, Management, Admin, Branch Management, Medical, Microsoft Office, Sales Skills, Administration, Operations/Management",3,5
Sales Executive - Cairo,INGAZ, New Cairo,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Marketing, MS Office, Computer Skills, Economics, Business, Sales/Retail",2,3
Facilities Maintenance Engineer...,El-Moasser Books, 10th of Ramadan City,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Mechanical Engineering, Electrical, Air Conditioning, Maintenance, Installation/Maintenance/Repair, Engineering - Mechanical/Electrical",3,5
Chief Accountant,HEIBCO, New Cairo,Full Time,Senior Management,10+ Yrs of Exp,Cairo,"Cost Accounting, Financial Management, Microsoft Excel, Finance, Financial Analysis, Accounting/Finance",10,12
IOS Developer,PIXEL, Hadayek Alahram,Full Time,Experienced,2-3 Yrs of Exp,Giza,"IOS, Objective-C, Viper, Swift UI, Core Data, MVVM, RESTful APIs, Swift 4, Swift 5, UIKIT, Push Notifications",2,3
Civil Sales Engineer,Titan Cement Egypt, Sheraton,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Customer Service, Customer Care, Customer Support, Communication Skills, English, Sales/Retail",1,3
Partnerships Team Manager,Confidential, New Nozha,Full Time,Manager,4+ Yrs of Exp,Cairo,"Business Development, Business Administration, <, Management, Fundraising, Business Development, Project/Program Management",4,6
Senior Graphic Designer - Alexandria,Morse Coed, Bolkly,Full Time,Experienced,2-6 Yrs of Exp,Alexandria,"Graphic Design, Creative, Agency, English, Arabic, Adobe Illustrator, Adobe Photoshop, Animation Design, Presentation Skills",2,6
Telesales Agent (Training Field),"Bloom Business School, BBS", Maadi,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Training, Courses, Sales Target, Sales Person, Sales Executive, Sales/Retail",2,5
Technical Sales Manager - Components & Production...,POLYMAC, Cairo,Full Time,Manager,10+ Yrs of Exp,Egypt,"English, Dutch, German, Sales Skills, Sales Target, Technical Sales, Bulk Material, Plastics, Chemicals, Minerals, Pharmaceutical",10,12
Purchasing/Procurement Specialist,The Breakroom Company, Sheraton,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Supply Chain, Purchasing Management, Supermarkets, Convenience Stores, Procurement, Computer Skills, Logistics/Supply Chain",3,5
IT Hardware & Networking Specialist,Dimensions Information Technology, Dubai,Full Time,Part Time,5-15 Yrs of Exp,United Arab Emirates,"Information Technology (IT), Computer Hardware, Installation, Networks, LAN, WAN, Servers, Virtualization, Network Security, IT",5,15
SEO Specialist - Cairo,Maxevia Corporate, Cairo,Full Time,Work From Home,2-5 Yrs of Exp,Egypt,"SEO, Search Engine Optimization, Google Analytics, Social Media, Digital Marketing, SEM, HTML, CSS, CMS, MS Excel, PowerPoint",2,5
Senior Technical Office Architecture / Civil...,Egypro FME, Maadi,Full Time,Experienced,4-7 Yrs of Exp,Cairo,"Architecture, AutoCAD, Microsoft Office, Communication Skills, Civil Engineering, Architectural, Finishing",4,7
Marketing Social Media Specialist,HEIBCO, New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"E-marketing, HTML, Facebook, Software, Web Development, Graphic Designer, Public Relations, CSS, Dreamweaver",3,5
Digital Media Buyer,Ads Solution, Cairo,Full Time,Experienced,2-3 Yrs of Exp,Egypt,"Social Media, Digital Media, Digital Performance, Google Analytics, Illustrator, Photoshop, Media Planning, Media Buying",2,3
Business Development Specialist,Equiti Group LTD, Cairo,Full Time,Entry Level,1+ Yrs of Exp,Egypt,"Sales Skills, Financial Trading, FX, Stocks, English, Business Development, Sales/Retail",1,3
Office Manager / Executive Assistant,The Breakroom Company, Sheraton,Full Time,Experienced,3-10 Yrs of Exp,Cairo,"Office Management, Microsoft Office, Secretary, Administration, English, Communication, Arabic, Word, French, MS Excel",3,10
Senior Front End Developer,Premier Services and Recruitment, Sheraton,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Computer Science, javaScript, CSS, HTML5, Senior FrontEnd Developer, Information Technology (IT), jQuery, Git, LESS",3,5
Sales Coordinator,Arabian Company for Trading, Heliopolis,Full Time,Experienced,3-6 Yrs of Exp,Cairo,"Sales Coordinator, Business Administration, Communication, Computer Skills, MS Office, English, Sales Skills",3,6
Chief Financial Officer (CFO) - Alexandria,Confidential, Alexandria,Full Time,Senior Management,12-15 Yrs of Exp,Egypt,"Finance, Accounting, Financial Management, CFO, MBA, English, Corporate, Financial Analysis, CPA, CIMA, Accounting/Finance",12,15
System Administrator (Vulnerabilities Management),Interact Technology Solutions, Maadi,Freelance / Project,Experienced,3+ Yrs of Exp,Cairo,"Engineering, Microsoft Office, MS Project, CAD Drawing, Information Technology (IT), Networks, Network Administration, Repair",3,5
Senior Mean Stack Developer,Confidential, Nasr City,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"MEAN Stack, Angular, Docker, Jenkins, Express, Information Technology (IT), Computer Science, javaScript, DevOps",2,3
Senior Sales Executive (Outdoor),Gap Polymers, Maadi,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Selling Skills, Outdoor Sales, stretch films, Sales Skills, Sales Target, Communication Skills, English, Negotiation, MS Office",3,5
Store Manager - (Salam City),OPPO Egypt, Salam City,Full Time,Manager,3+ Yrs of Exp,Cairo,"Sales Target, Sales Skills, Store Management, Communication Skills, Computer Skills, Microsoft Office, Store Administration, Customer Care",3,5
Construction Manager,Confidential, New Capital,Full Time,Manager,10+ Yrs of Exp,Cairo,"Operations, Civil Engineering, QA, QC, Communication, Engineering - Construction/Civil/Architecture, Operations/Management",10,12
System Administrator,Interact Technology Solutions, Maadi,Freelance / Project,Experienced,3+ Yrs of Exp,Cairo,"Microsoft Office, MS Project, CAD Drawing, Information Technology (IT), Networks, Network Administration, Maintenance, Repair",3,5
Indoor Sales Representative - (Salam City),OPPO Egypt, Salam City,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Males Only, Sales Target, Sales Skills, Smartphones, Communication Skills, Customer Service, Customer Care, Customer Support, English",1,2
Marketing Specialist,Simplex, Nasr City,Full Time,Experienced,1-3 Yrs of Exp,Cairo,"E-marketing, Business Development, planning, Strategic, Digital Marketing, Microsoft Office, Communication Skills, Computer Skills",1,3
IT Technical Support Specialist,Smartistic Education Technology Co, Sheikh Zayed,Full Time,Part Time,2+ Yrs of Exp,Giza,"2+ Yrs of Exp, Computer Science, Information Technology (IT), Troubleshooting, IT, Communication Skills, Microsoft Office, Help Desk",2,4
Junior Graphic Designer,Boombuzz Advertising Agency, Cairo,Full Time,Entry Level,1-2 Yrs of Exp,Egypt,"Adobe Illustrator, Motion Graphic Design, Creative/Design/Art",1,2
Visual Merchandiser,Carina Wear, New Cairo,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Retail, Sales Skills, Visual Merchandising, Fashion, Creative/Design/Art, Marketing/PR/Advertising, Sales/Retail",2,3
Customer Service Agent - English Speaker,Dual-IT, Tanta,Full Time,Experienced,2+ Yrs of Exp,Gharbia,"Customer Support, Customer Care, English, Microsoft Office, Communication Skills, Social Media, Customer Service/Support",2,4
Senior Java Developer,MidEast Communication Systems, New Cairo,Full Time,Experienced,5+ Yrs of Exp,Cairo,"MySQL, Information Technology (IT), Computer Science, RDBMS, Rest, GIT, OSGi, Java 8, MicroServices, Agile, Karaf, My SQL",5,7
Real Estate Sales Specialist - Giza,MENA For Contracting & Trading, Mohandessin,Full Time,Experienced,2-5 Yrs of Exp,Giza,"Real Estate Sales, Sales Skills, Sales Target, Communication Skills, Microsoft Office, Property Sales, English, Negotiation",2,5
Medical Representative - Alexandria,Infomine Market Research, Alexandria,Full Time,Entry Level,0 Yrs of Exp,Egypt,"Science, Dentistry, Sales Skills, Sales Target, Medical Sales, Healthcare, Medical/Healthcare, Sales/Retail, Pharmaceutical",0,2
Medical Representative ( Veterinary Only ),Milkys, Sheikh Zayed,Full Time,Experienced,5-15 Yrs of Exp,Giza,"Sales Target, Communication, Farming Solution, Veterinary, Negotiation, Medical Rep, Medical/Healthcare, Sales/Retail",5,15
Sales Representative / Engineer,Makinat Abouseif, Abu Rawash,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Males Only, Customer Service, Customer Care, Customer Support, Microsoft Office, Sales Skills, Sales Target, Electrical Engineering",1,3
Engineering Manager,Profolio Consulting, Maadi,Full Time,Manager,8-10 Yrs of Exp,Cairo,"Project Management, Information Technology (IT), Computer Science, Software, Leadership, Projects, DevOps, React, Product",8,10
DevOps Lead,Profolio Consulting, Maadi,Full Time,Manager,4+ Yrs of Exp,Cairo,"Software Engineering, Computer Science, DevOps, Profound, Cloud, IT/Software Development, Engineering - Telecom/Technology",4,6
Graphic Designer,Masar Engineering Consulting, New Cairo,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Adobe Photoshop, Adobe Illustrator, Creative, Social Media, Printing, Creative/Design/Art",2,4
Chairman Assistant - New Cairo,STARLIGHT DEVELOPMENTS, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Office Management, Secretary, Microsoft Office, English, Communication Skills, Word, Excel, Personal Assistant, Administration",1,3
Storekeeper,Confidential, Cairo,Full Time,Entry Level,1-2 Yrs of Exp,Egypt,"Logistics, Supply Chain, Storekeeping, Administration, Logistics/Supply Chain, Purchasing/Procurement",1,2
Fixed Assets Accountant,Badr University in Cairo (BUC), Badr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Finance, Financial Management, Financial Analysis, Fixed Assets, Commerce, Accounting/Finance",1,3
Operations Intern,Five, Sheikh Zayed,Internship,Entry Level,0 Yrs of Exp,Giza,"Customer Service, Accounting, Finance, Operations/Management",0,2
Business Development Engineer,Smart Lighting, Sheraton,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,"Engineering, Business Development, English, Marketing, Architecture, Engineering - Construction/Civil/Architecture, Business Development",0,2
Advertising Account Manager - Alexandria Branch,Digital Essence, Glim,Full Time,Experienced,2+ Yrs of Exp,Alexandria,"Females Only, Startup, E-marketing, Digital Marketing, Sales Skills, Sales Target, Customer Service, Customer Care, Customer Support",2,4
Warehouse Manager - Qalyub,Ibn Sina Pharma, Qalyub,Full Time,Entry Level,0-2 Yrs of Exp,Qalubia,"Logistics, Pharmaceutical Sciences, Supply Chain Management, Six Sigma, Lean Warehouse, Logistics/Supply Chain, Pharmaceutical",0,2
Accountant - Microsoft Dynamics AX Axapta System,Badr University in Cairo (BUC), Badr City,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Males Only, Accounting, Finance, Axapta, Financial Management, Financial Analysis, Microsoft Office, Microsoft Dynamics Ax 2012",3,5
Web Project Manager,Premier Services and Recruitment, Sheraton,Full Time,Manager,2+ Yrs of Exp,Cairo,"Project Manager, Web Development, Computer Science, Information Technology (IT), Design, Communication Skills, IT/Software Development",2,4
Accountant (FMCG),Confidential, Nasr City,Full Time,Experienced,4-5 Yrs of Exp,Cairo,"Commerce, Cost Accounting, General Accounting, FMCG, Food & Beverage, Financial Analysis, English, Accounting/Finance",4,5
Outdoor Sales Specialist,Brodcast Agency, Giza,Full Time,Part Time,2-3 Yrs of Exp,Egypt,"2-3 Yrs of Exp, 4 Vacancies, Sales Skills, Outdoor Sales, Sales Target, English, Arabic, Customer Service/Support, Sales/Retail",2,3
Maadi Branch Manager,Confidential, Maadi,Full Time,Manager,4-5 Yrs of Exp,Cairo,"Express, Customer Service, Customer Care, Operations, Management, Operations/Management",4,5
Planning Team Leader Engineer,ECS - Energy & Contracting Solutions, Maadi,Full Time,Manager,6+ Yrs of Exp,Cairo,"Civil Engineering, Mechanical, Planning, Electrical Engineering, PSP, Management, Leadership Skills, Engineering - Mechanical/Electrical",6,8
Planning Specialist - Beheira,Al Watania Poultry, Wadi Alnatrun,Full Time,Experienced,2-4 Yrs of Exp,Beheira,"Males Only, Planning, Logistics, Supply Chain, Procurement, Microsoft Office, Microsoft Excel, Production, Microsoft Powerpoint",2,4
Affiliate Sales Specialist - Advertising Agency,Brodcast Agency, Giza,Full Time,Part Time,1-4 Yrs of Exp,Giza,"1-4 Yrs of Exp, 3 Vacancies, Sales Skills, Sales Target, Outdoor Sales, English, Sales/Retail",1,4
Treasury Accountant.,Maxab, Cairo,Full Time,Entry Level,0-2 Yrs of Exp,Egypt,"Accounting, Finance, Treasury, Financial Analysis, Commerce, Excel, Accounting/Finance",0,2
Stock Controller,Milkys, Beheira,Full Time,Experienced,5+ Yrs of Exp,Egypt,"Logistics, Supply Chain, Warehousing, MS Office, Accounting/Finance, Logistics/Supply Chain",5,7
General Accountant.,Maxab, Cairo,Full Time,Experienced,2-4 Yrs of Exp,Egypt,"Accounting, Finance, Financial Analysis, Financial Management, AP, Accounts Payable, Commerce, Excel, Accounting/Finance",2,4
Full Stack Developer,MidEast Communication Systems, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Computer Science, UI, UX, MVC, PHP, Laravel, jQuery, HTML5, CSS3, NodeJS, Nginx, Yaf, SQL, GIT",1,3
.Net Developer - Alexandria,Confidential, Sidi Gaber,Freelance / Project,Work From Home,3+ Yrs of Exp,Alexandria,"4 Vacancies, .NET, SQL, MVC, Xamarin, HTML5, CSS3, javaScript, REST, RPC, Software Engineering, Agile, C#",3,5
PHP Laravel - Full Stack Developer,Confidential, New Cairo,Full Time,Experienced,2+ Yrs of Exp,Cairo,"PHP, Laravel, MySQL, Database Schemas, GraphQL API, RESTful APIs, Full Stack Development, Bootstrap 4, Software Development",2,4
Flutter Developer,Confidential, New Cairo,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Flutter, Mobile Developer, Information Technology (IT), Computer Engineering, Computer Science, JSON, Code Versioning Tools, App Store",1,3
Strategic Programs Team Manager,WUZZUF, Maadi,Full Time,Manager,7-15 Yrs of Exp,Cairo,"Project Management, Strategic Planning, Reporting, Analysis, Communication, Programs Manager, Programs Management, development sector, Budgeting",7,15
Partnerships Team Manager,WUZZUF, Maadi,Full Time,Manager,7-15 Yrs of Exp,Cairo,"Partnerships Management, Partnerships Manager, fundraising, donors’ Management, government relations management, Proposal writing",7,15
Project Manager,WUZZUF, Maadi,Full Time,Manager,3-5 Yrs of Exp,Cairo,"fundraising, Budgeting, donor funds projects, Project/Program Management",3,5
Partnerships Executive,WUZZUF, Maadi,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Market Analysis, Market Research, Partnerships, Outreach, Marketing, Public Relations (PR), B2B, B2C, Business Development",3,5
Sales Manager,Powerline, Cairo,Full Time,Manager,5+ Yrs of Exp,Egypt,"Communication Skills, Customer Service, Sales Skills, Sales/Retail",5,7
Sales Engineer,Powerline, Cairo,Full Time,Experienced,2-5 Yrs of Exp,Egypt,"Sales Target, Mechanical Engineering, Communication, Manufacturing, English, Customer Care, Customer Support, Sales/Retail",2,5
Senior HR Specialist,Confidential, Cairo,Full Time,Experienced,5-8 Yrs of Exp,Egypt,"Human Resources (HR), HR, HR Diploma, Recruitment, Communication Skills, Human Resources",5,8
HR Business Partner - Alexandria,Caduceus Lane, Alexandria,Full Time,Experienced,5+ Yrs of Exp,Egypt,"Human Resources (HR), Interviewing, Screening, OD, Training, Recruitment, Adminstration, HR, Personnel, Labor Law, Commerce",5,7
